,"CC Hard, k=4"
TCGA-CF-A3MF,0
TCGA-XF-A9SH,3
TCGA-BT-A3PK,2
TCGA-CF-A47W,3
TCGA-XF-AAMY,3
TCGA-DK-A3X2,3
TCGA-XF-A9T0,1
TCGA-XF-A9T3,1
TCGA-BT-A2LA,1
TCGA-FD-A5BR,0
TCGA-HQ-A2OF,3
TCGA-XF-A9SV,3
TCGA-DK-AA6W,1
TCGA-GU-A42Q,0
TCGA-XF-AAMZ,0
TCGA-G2-A3IB,3
TCGA-GC-A3RB,0
TCGA-CF-A47S,0
TCGA-DK-A2HX,3
TCGA-GV-A40G,3
TCGA-XF-A9SL,0
TCGA-DK-A1AF,0
TCGA-GD-A3OQ,0
TCGA-XF-A9SP,2
TCGA-BT-A20O,1
TCGA-GV-A3QK,3
TCGA-FJ-A871,3
TCGA-UY-A78K,2
TCGA-FD-A5C1,0
TCGA-DK-A3IL,1
TCGA-ZF-AA5H,0
TCGA-FD-A6TG,2
TCGA-E7-A7XN,2
TCGA-ZF-A9RE,0
TCGA-SY-A9G0,0
TCGA-ZF-AA4T,3
TCGA-4Z-AA84,2
TCGA-XF-AAME,0
TCGA-5N-A9KI,1
TCGA-GU-A764,0
TCGA-FD-A3B7,0
TCGA-ZF-AA5N,0
TCGA-FD-A5BX,2
TCGA-DK-A2I6,1
TCGA-DK-AA75,2
TCGA-4Z-AA7S,0
TCGA-CF-A3MG,0
TCGA-DK-A3IQ,0
TCGA-FD-A5BZ,3
TCGA-CF-A9FH,0
TCGA-FD-A6TI,2
TCGA-C4-A0EZ,3
TCGA-E5-A2PC,1
TCGA-UY-A78L,1
TCGA-G2-A2EO,2
TCGA-BT-A20N,1
TCGA-UY-A9PA,0
TCGA-G2-A3VY,1
TCGA-XF-A9SW,3
TCGA-FD-A5BT,3
TCGA-ZF-A9RL,1
TCGA-DK-A2I2,0
TCGA-K4-A5RI,3
TCGA-FJ-A3Z9,3
TCGA-BT-A42E,0
TCGA-GU-AATQ,3
TCGA-UY-A9PH,2
TCGA-ZF-AA54,0
TCGA-GD-A3OS,0
TCGA-GC-A3OO,3
TCGA-FD-A3SR,3
TCGA-DK-AA6S,2
TCGA-BT-A2LB,1
TCGA-FD-A3N5,1
TCGA-GC-A6I3,3
TCGA-XF-A9SU,3
TCGA-DK-A1AE,0
TCGA-XF-A9T2,0
TCGA-GV-A40E,0
TCGA-XF-AAMF,0
TCGA-E7-A4XJ,0
TCGA-FD-A5BV,3
TCGA-GV-A3QF,0
TCGA-ZF-AA51,2
TCGA-4Z-AA83,0
TCGA-BT-A20Q,3
TCGA-ZF-A9R7,2
TCGA-2F-A9KW,0
TCGA-CU-A72E,3
