,"CC Hard, k=4"
TCGA-2F-A9KO,4
TCGA-2F-A9KP,1
TCGA-2F-A9KQ,1
TCGA-2F-A9KR,3
TCGA-2F-A9KT,4
TCGA-2F-A9KW,1
TCGA-4Z-AA7M,2
TCGA-4Z-AA7N,1
TCGA-4Z-AA7O,4
TCGA-4Z-AA7R,2
TCGA-4Z-AA7S,1
TCGA-4Z-AA7W,2
TCGA-4Z-AA7Y,3
TCGA-4Z-AA80,2
TCGA-4Z-AA81,1
TCGA-4Z-AA84,3
TCGA-4Z-AA86,2
TCGA-4Z-AA87,1
TCGA-5N-A9KI,2
TCGA-5N-A9KM,4
TCGA-BL-A0C8,1
TCGA-BL-A13I,1
TCGA-BL-A13J,1
TCGA-BL-A3JM,2
TCGA-BL-A5ZZ,1
TCGA-BT-A0S7,3
TCGA-BT-A0YX,4
TCGA-BT-A20J,2
TCGA-BT-A20N,2
TCGA-BT-A20O,2
TCGA-BT-A20P,1
TCGA-BT-A20Q,2
TCGA-BT-A20R,2
TCGA-BT-A20W,1
TCGA-BT-A20X,1
TCGA-BT-A2LA,2
TCGA-BT-A3PH,2
TCGA-BT-A3PJ,2
TCGA-BT-A42B,1
TCGA-BT-A42C,4
TCGA-BT-A42E,4
TCGA-C4-A0EZ,3
TCGA-C4-A0F0,1
TCGA-C4-A0F1,1
TCGA-C4-A0F6,3
TCGA-C4-A0F7,1
TCGA-CF-A1HR,4
TCGA-CF-A1HS,2
TCGA-CF-A27C,3
TCGA-CF-A3MF,1
TCGA-CF-A3MG,1
TCGA-CF-A3MH,1
TCGA-CF-A47T,1
TCGA-CF-A47V,3
TCGA-CF-A47X,4
TCGA-CF-A47Y,3
TCGA-CF-A5UA,1
TCGA-CF-A7I0,1
TCGA-CF-A9FF,3
TCGA-CF-A9FH,1
TCGA-CF-A9FL,1
TCGA-CF-A9FM,1
TCGA-CU-A0YN,1
TCGA-CU-A0YO,1
TCGA-CU-A0YR,4
TCGA-CU-A3KJ,3
TCGA-CU-A3QU,1
TCGA-CU-A3YL,4
TCGA-CU-A5W6,1
TCGA-CU-A72E,3
TCGA-DK-A1A3,2
TCGA-DK-A1A5,2
TCGA-DK-A1A6,4
TCGA-DK-A1A7,3
TCGA-DK-A1AA,3
TCGA-DK-A1AB,3
TCGA-DK-A1AC,2
TCGA-DK-A1AD,2
TCGA-DK-A1AF,3
TCGA-DK-A2HX,1
TCGA-DK-A2I1,2
TCGA-DK-A2I4,4
TCGA-DK-A3IK,4
TCGA-DK-A3IL,2
TCGA-DK-A3IN,2
TCGA-DK-A3IQ,1
TCGA-DK-A3IS,3
TCGA-DK-A3WW,4
TCGA-DK-A3WX,1
TCGA-DK-A3WY,1
TCGA-DK-A3X2,1
TCGA-DK-A6AV,1
TCGA-DK-A6AW,1
TCGA-DK-A6B0,3
TCGA-DK-A6B1,1
TCGA-DK-AA6L,4
TCGA-DK-AA6M,1
TCGA-DK-AA6P,3
TCGA-DK-AA6Q,1
TCGA-DK-AA6S,4
TCGA-DK-AA6T,1
TCGA-DK-AA6W,2
TCGA-DK-AA6X,3
TCGA-DK-AA74,2
TCGA-DK-AA75,4
TCGA-DK-AA76,4
TCGA-DK-AA77,3
TCGA-E5-A2PC,3
TCGA-E5-A4TZ,2
TCGA-E5-A4U1,2
TCGA-E7-A3X6,1
TCGA-E7-A3Y1,3
TCGA-E7-A4IJ,3
TCGA-E7-A519,3
TCGA-E7-A541,4
TCGA-E7-A5KE,4
TCGA-E7-A5KF,3
TCGA-E7-A677,4
TCGA-E7-A6MD,4
TCGA-E7-A6ME,2
TCGA-E7-A6MF,1
TCGA-E7-A7DU,3
TCGA-E7-A7DV,3
TCGA-E7-A7PW,1
TCGA-E7-A85H,4
TCGA-E7-A97P,3
TCGA-E7-A97Q,1
TCGA-FD-A3B3,4
TCGA-FD-A3B4,1
TCGA-FD-A3B5,3
TCGA-FD-A3B6,2
TCGA-FD-A3B7,1
TCGA-FD-A3N6,1
TCGA-FD-A3NA,2
TCGA-FD-A3SJ,2
TCGA-FD-A3SL,2
